case_id,payment_id,settlement_id,bank_txn_id,anomaly_type,expected_decision,expected_settlement,actual_settlement
CASE_00976,PAY_EB3E8545,SET_66CBE5B2,BNK_23241E24,FEE_VARIANCE,EXCEPTION,127714,127614
CASE_00977,PAY_799A5D82,SET_9FF45375,BNK_8817FD77,TIMING_DIFFERENCE,MATCHED,316549,316549
CASE_00978,PAY_286306BD,SET_844E11A1,BNK_E5A855AF,CLEAN,MATCHED,868118,868118
CASE_00979,PAY_67A22607,SET_44A9BE42,BNK_9C51FA14,FEE_VARIANCE,EXCEPTION,1806438,1806338
CASE_00980,PAY_314E4289,SET_CF2E2CBD,BNK_68AADED6,CLEAN,MATCHED,107112,107112
CASE_00981,PAY_C43E5226,SET_0F44BD29,BNK_B406932C,CLEAN,MATCHED,1142096,1142096
CASE_00982,PAY_A88D6816,SET_E2DD5456,BNK_0B119910,CHARGEBACK,MATCHED,-23897,-23897
CASE_00983,PAY_95BCE1CA,SET_A85346F5,BNK_D0A32343,CLEAN,MATCHED,620698,620698
CASE_00984,PAY_2B005D27,SET_18FD6F49,BNK_1CA4A470,TIMING_DIFFERENCE,MATCHED,201334,201334
CASE_00985,PAY_573AACD2,SET_57A5B28E,BNK_35AC0604,REFERENCE_TYPO,MATCHED,1192478,1192478
CASE_00986,PAY_8E58CFDE,SET_AE999CA6,BNK_3D31E236,REFERENCE_TYPO,MATCHED,1124325,1124325
CASE_00987,PAY_81180AE4,SET_D02AEBC9,BNK_95DBAAC3,CLEAN,MATCHED,983235,983235
CASE_00988,PAY_BE602C87,SET_307346D1,BNK_663B4A1C,REFUND,MATCHED,662244,662244
CASE_00989,PAY_8C6F89AF,SET_C7CF1837,BNK_550931C0,OTHER,MATCHED,1419784,1419784
CASE_00990,PAY_B6455D3C,SET_D6ADFC22,BNK_9D1E6E87,CLEAN,MATCHED,1842272,1842272
CASE_00991,PAY_45A35FD1,SET_643B510B,BNK_517B7548,CLEAN,MATCHED,354336,354336
CASE_00992,,SET_CCEFAD8F,BNK_4B961696,MISSING_PAYMENT,EXCEPTION,183368,183368
CASE_00993,PAY_86CAACA4,SET_51799F1D,BNK_D97DB590,TAX_VARIANCE,EXCEPTION,178975,179025
CASE_00994,PAY_CC04C055,SET_5CAB650A,BNK_3811D294,CLEAN,MATCHED,1074919,1074919
CASE_00995,PAY_6C5A044F,SET_8AFEEEC8,BNK_2ED5C469,REFERENCE_TYPO,MATCHED,1837585,1837585
CASE_00996,PAY_A8C3736C,SET_3880C972,BNK_3CC6DE3B,CLEAN,MATCHED,1473388,1473388
CASE_00997,PAY_F2E4D2D6,SET_4A9DFCE0,BNK_4EE13D69,CLEAN,MATCHED,584669,584669
CASE_00998,PAY_AD4E1278,SET_830F4E33,BNK_497ADBF4,CLEAN,MATCHED,469747,469747
CASE_00999,PAY_50C66770,SET_1B036603,BNK_46CB51F4,CLEAN,MATCHED,1369694,1369694
CASE_01000,PAY_BA7E33E6,SET_4B3C06B3,BNK_E7773397,CLEAN,MATCHED,1298905,1298905
CASE_01001,PAY_34372B54,SET_D72A82F8,BNK_65124CFE,CLEAN,MATCHED,1267856,1267856
CASE_01002,PAY_3A5F3FC7,SET_F4871D90,BNK_EA704F3E,HIGH_VALUE_ANOMALY,REVIEW,29292000,29292000
CASE_01003,PAY_3CB9288B,SET_4985535A,BNK_618B41C1,REFUND,MATCHED,376404,376404
CASE_01004,PAY_3F9C290D,SET_6359483E,BNK_897BA344,CLEAN,MATCHED,1691125,1691125
CASE_01005,PAY_0E86AD71,SET_71FFD4BA,BNK_187474F1,CLEAN,MATCHED,1473779,1473779
CASE_01006,PAY_7406C951,SET_6BEF255F,BNK_A56389ED,OTHER,MATCHED,481561,481561
CASE_01007,PAY_C13805AA,SET_4E7A567A,BNK_D10DC76F,CLEAN,MATCHED,1925168,1925168
CASE_01008,PAY_D1D0566D,SET_86C9CC83,BNK_6CC64BFC,UNEXPLAINED_DELTA,EXCEPTION,288234,250334
CASE_01009,PAY_370E31A9,SET_F11B1AAF,BNK_C4DED087,CLEAN,MATCHED,1926731,1926731
CASE_01010,PAY_A93759F6,SET_32424AD9,BNK_99926EEA,CHARGEBACK,MATCHED,-15951,-15951
CASE_01011,PAY_E0EA8359,SET_C15E5262,BNK_72C181B6,CLEAN,MATCHED,861185,861185
CASE_01012,PAY_544C3FBA,SET_565C3CD6,BNK_7C86ACA3,TIMING_DIFFERENCE,MATCHED,1372624,1372624
CASE_01013,PAY_86E4B5BB,SET_97C94CC0,BNK_DEF05E7F,REFUND,MATCHED,32015,32015
CASE_01014,PAY_3ADA84F8,,,MISSING_SETTLEMENT,EXCEPTION,1679799,1679799
CASE_01015,PAY_FA4C157A,SET_0ACE642A,BNK_C742DFFF,CLEAN,MATCHED,36420,36420
CASE_01016,PAY_2ECE61CD,SET_B219D9CC,BNK_7BEB462F,CLEAN,MATCHED,918695,918695
CASE_01017,PAY_67D5DC4D,SET_D89E86AD,BNK_3E8E3E7E,CLEAN,MATCHED,614156,614156
CASE_01018,PAY_20BCAC14,SET_59DED9DA,BNK_2FDC5652,UNEXPLAINED_DELTA,EXCEPTION,1706162,1700362
CASE_01019,PAY_BED1CFF9,SET_8D5B0058,BNK_1DCB6E5E,CLEAN,MATCHED,442798,442798
CASE_01020,PAY_FC53E62C,,,MISSING_SETTLEMENT,EXCEPTION,723611,723611
CASE_01021,PAY_1737B75F,SET_E41AFB81,BNK_A8A1CD07,TAX_VARIANCE,EXCEPTION,1829774,1829824
CASE_01022,PAY_70B7A5EE,SET_8D7BA2B8,BNK_7B48B3F5,CLEAN,MATCHED,966441,966441
CASE_01023,PAY_76E5CA5E,SET_2924C234,BNK_B18581F8,DUPLICATE,REVIEW,1549938,1549938
CASE_01024,PAY_39E620BF,SET_25E1BDAB,BNK_5F4D5835,CLEAN,MATCHED,189422,189422
CASE_01025,PAY_AB97CE62,SET_44E43055,BNK_BB1E8F6F,CLEAN,MATCHED,781511,781511
CASE_01026,PAY_7D925A6B,SET_1B05249E,BNK_D638AB19,UNEXPLAINED_DELTA,EXCEPTION,1377017,1348517
CASE_01027,PAY_D8853A2B,SET_28FB85C3,BNK_64901E3D,TIMING_DIFFERENCE,MATCHED,1951922,1951922
CASE_01028,PAY_BA9B0234,SET_25E3115A,BNK_C1A0FA4D,ONE_TO_MANY,MATCHED,1686829,1686829
CASE_01029,PAY_E8A44646,SET_264CB96B,BNK_644DC026,DUPLICATE,REVIEW,883642,883642
CASE_01030,,SET_FC1E42BF,BNK_EDDBEC62,MISSING_PAYMENT,EXCEPTION,1912378,1912378
CASE_01031,PAY_95AFFCCA,SET_7607EAE5,BNK_4C3F7076,CLEAN,MATCHED,1350948,1350948
CASE_01032,PAY_D57F4E2A,SET_5FBDDB84,BNK_9011837F,FEE_VARIANCE,EXCEPTION,1738090,1737990
CASE_01033,PAY_5C409C7F,SET_CDEB21C8,BNK_7BD9E84F,CLEAN,MATCHED,1169435,1169435
CASE_01034,PAY_44E62174,SET_99ABB39C,BNK_7C2C0272,CLEAN,MATCHED,843903,843903
CASE_01035,PAY_7F44FA0F,SET_F56E68A4,BNK_12F2E7BF,CLEAN,MATCHED,1408555,1408555
CASE_01036,PAY_A7827382,SET_3E26C750,BNK_DDE9A045,CLEAN,MATCHED,1353877,1353877
CASE_01037,PAY_2461CD55,SET_D4D65705,BNK_4A530F61,CLEAN,MATCHED,128983,128983
CASE_01038,PAY_DA1E3319,SET_6FBA8D67,BNK_85331AFA,CLEAN,MATCHED,874660,874660
CASE_01039,PAY_CF640318,SET_4440E7B4,BNK_0D1CE0A1,CLEAN,MATCHED,1594755,1594755
CASE_01040,PAY_38D407E5,SET_69A68804,BNK_9838B88E,REFUND,MATCHED,228625,228625
CASE_01041,PAY_B0E3D9C5,SET_D1FF5877,BNK_60C87A66,AMBIGUOUS,REVIEW,1111730,1111730
CASE_01042,PAY_1BBF428A,SET_5D5B5B59,BNK_0AD86FDB,CLEAN,MATCHED,1258482,1258482
CASE_01043,PAY_A065882B,SET_30F6A945,BNK_64CF3955,TIMING_DIFFERENCE,MATCHED,1799799,1799799
CASE_01044,PAY_FA49638B,SET_41EDE6D6,BNK_BB88BD7E,CLEAN,MATCHED,298486,298486
CASE_01045,PAY_8AC2FD22,SET_C436762F,BNK_6A4FC954,CLEAN,MATCHED,465548,465548
CASE_01046,PAY_08D90920,SET_9460A068,BNK_91BD7116,AMBIGUOUS,REVIEW,1877618,1877618
CASE_01047,PAY_B541EBCC,SET_112D6641,BNK_E22D5C52,CLEAN,MATCHED,504995,504995
CASE_01048,PAY_B74F82EF,SET_B89358EC,BNK_06CDAE26,CLEAN,MATCHED,981380,981380
CASE_01049,PAY_0DC595DF,SET_FF41AAE9,BNK_4B8E892D,CLEAN,MATCHED,134158,134158
CASE_01050,PAY_B2AF10F0,SET_C1C15FE4,BNK_99674889,CLEAN,MATCHED,582423,582423
CASE_01051,PAY_3C134749,SET_2992AE61,BNK_90EC9232,CLEAN,MATCHED,1014773,1014773
CASE_01052,PAY_8172E221,SET_760DD63A,BNK_0321CBA1,REFERENCE_TYPO,MATCHED,844782,844782
CASE_01053,PAY_531504F4,SET_9C5971FA,BNK_BD466026,OTHER,MATCHED,1008426,1008426
CASE_01054,PAY_F70895B9,SET_CE384CA3,BNK_EA80B85A,CLEAN,MATCHED,639640,639640
CASE_01055,PAY_26052920,SET_843E719E,BNK_0A8C9722,CLEAN,MATCHED,332562,332562
CASE_01056,PAY_0DF68322,SET_D1BFD192,BNK_1C5636AE,CLEAN,MATCHED,998858,998858
CASE_01057,PAY_219E91E6,SET_2C2D56BD,BNK_97458FCF,CLEAN,MATCHED,414775,414775
CASE_01058,PAY_7FF73C8A,SET_3D68006E,BNK_043F80B9,AMBIGUOUS,REVIEW,170968,170968
CASE_01059,PAY_3D635A9D,,,MISSING_SETTLEMENT,EXCEPTION,914301,914301
CASE_01060,PAY_8ECB4BD6,SET_D3245190,BNK_C7184ABC,CLEAN,MATCHED,1772459,1772459
CASE_01061,PAY_FAFB5B9D,SET_427C8AFC,BNK_90CDE3B2,CHARGEBACK,MATCHED,-14846,-14846
CASE_01062,PAY_5A344B2D,,,MISSING_SETTLEMENT,EXCEPTION,1160452,1160452
CASE_01063,PAY_9B2C2CC2,SET_B2132236,BNK_94679A8F,REFUND,MATCHED,891678,891678
CASE_01064,PAY_8D1E66B2,SET_9278099E,BNK_BB7F4F90,ONE_TO_MANY,MATCHED,968687,968687
CASE_01065,PAY_763E898B,SET_35BF3156,BNK_ADB15C84,AMBIGUOUS,REVIEW,27730,27730
CASE_01066,PAY_5E6F58E5,SET_4C577260,BNK_B958648E,OTHER,MATCHED,1116123,1116123
CASE_01067,PAY_2AC4C123,SET_2F46465B,BNK_A90799DA,CLEAN,MATCHED,1782712,1782712
CASE_01068,PAY_40AA7692,SET_671420A4,BNK_694696E0,DUPLICATE,REVIEW,1732427,1732427
CASE_01069,PAY_DFE74E89,SET_533B02E8,BNK_503F3191,DUPLICATE,REVIEW,1515861,1515861
CASE_01070,PAY_073B2824,SET_955BF256,BNK_6F07766B,REFUND,MATCHED,857568,857568
CASE_01071,PAY_ABD9AED9,SET_C5814F8E,BNK_5C57E84B,CLEAN,MATCHED,1226749,1226749
CASE_01072,PAY_95698A20,SET_EB529155,BNK_D77F6577,OTHER,MATCHED,384019,384019
CASE_01073,PAY_6564C3E0,SET_02E68870,BNK_D217FF23,CLEAN,MATCHED,1634689,1634689
CASE_01074,PAY_92EB82F4,SET_FC0B8CBB,BNK_73BBDEEC,ONE_TO_MANY,MATCHED,601658,601658
CASE_01075,PAY_7A6784C8,SET_C28766D2,BNK_C0EFDF98,DUPLICATE,REVIEW,1835925,1835925
CASE_01076,PAY_D6392D43,SET_50BF8879,BNK_81E6CAB0,CLEAN,MATCHED,1252624,1252624
CASE_01077,PAY_C67CE865,SET_1AE8CDC7,BNK_3C3F0F9C,CHARGEBACK,MATCHED,-18101,-18101
CASE_01078,PAY_A7A6ED65,SET_CE9C3C1B,BNK_64254AB9,CLEAN,MATCHED,344670,344670
CASE_01079,PAY_A45E2C8F,SET_A75A43A0,BNK_F84A8E32,OTHER,MATCHED,1695617,1695617
CASE_01080,PAY_3DB5477F,SET_8F5B94A4,BNK_10C6B164,UNEXPLAINED_DELTA,EXCEPTION,1500044,1470444
CASE_01081,PAY_517A08D7,SET_543677C8,BNK_28C37672,AMBIGUOUS,REVIEW,294092,294092
CASE_01082,PAY_6FFBE7C7,SET_BC0FADC3,BNK_EBE63C80,TIMING_DIFFERENCE,MATCHED,1413144,1413144
CASE_01083,PAY_114F1C1A,SET_7A57032D,BNK_A92D451D,CHARGEBACK,MATCHED,-19774,-19774
CASE_01084,PAY_F13B69F8,,,MISSING_SETTLEMENT,EXCEPTION,1052560,1052560
CASE_01085,PAY_E8C9687D,SET_BC438110,BNK_62F230D2,CLEAN,MATCHED,638566,638566
CASE_01086,,SET_8E9D74D0,BNK_408C87DD,MISSING_PAYMENT,EXCEPTION,34077,34077
CASE_01087,PAY_F3E7380E,SET_85C4B603,BNK_044EA17A,CLEAN,MATCHED,723806,723806
CASE_01088,PAY_8F825CD0,SET_0C871037,BNK_28858B25,UNEXPLAINED_DELTA,EXCEPTION,1679408,1636508
CASE_01089,PAY_204E0DD3,SET_D8A0E1D7,BNK_89B67E22,CLEAN,MATCHED,183075,183075
CASE_01090,PAY_686C783A,SET_BEAD0368,BNK_98A31D08,REFERENCE_TYPO,MATCHED,137673,137673
CASE_01091,PAY_0A766F29,SET_C76D35F2,BNK_0CA30B62,DUPLICATE,REVIEW,1323901,1323901
CASE_01092,PAY_A9354B0E,SET_D74427AA,BNK_AD7493C7,CHARGEBACK,MATCHED,-10549,-10549
CASE_01093,PAY_E14C3627,SET_D9D937F0,BNK_A5287B74,CLEAN,MATCHED,1083902,1083902
CASE_01094,PAY_EA2BB6CB,SET_64019E55,BNK_CB39F437,CLEAN,MATCHED,1521622,1521622
CASE_01095,PAY_15F14BE5,SET_4208BFE0,BNK_62FEC8B0,TIMING_DIFFERENCE,MATCHED,1492526,1492526
CASE_01096,PAY_02D00743,SET_A90435AB,BNK_35F6FC30,REFUND,MATCHED,36826,36826
CASE_01097,PAY_A6028BD2,SET_6CB3966E,BNK_FE704576,CLEAN,MATCHED,1215618,1215618
CASE_01098,PAY_CB262D3C,SET_F58EE81B,BNK_F5FCC3AF,CHARGEBACK,MATCHED,-24893,-24893
CASE_01099,PAY_83D8BA9B,SET_B2F5CAE9,BNK_9B95D0D1,DUPLICATE,REVIEW,614840,614840
CASE_01100,PAY_7387573B,SET_E5184C90,BNK_BDD40F0E,CLEAN,MATCHED,583888,583888
CASE_01101,PAY_8434D961,,,MISSING_SETTLEMENT,EXCEPTION,1750002,1750002
CASE_01102,PAY_955F0AC5,SET_FCB1C727,BNK_09B43F39,CLEAN,MATCHED,1458449,1458449
CASE_01103,PAY_052212C5,SET_CBEE5E14,BNK_B3DBFE3A,REFUND,MATCHED,447912,447912
CASE_01104,PAY_88BE085D,SET_D2A38852,BNK_A37C6F0F,OTHER,MATCHED,976400,976400
CASE_01105,PAY_32FBD539,SET_8B47A52E,BNK_D84829BB,CLEAN,MATCHED,1912475,1912475
CASE_01106,,SET_E97D29B7,BNK_543EA6E8,MISSING_PAYMENT,EXCEPTION,1106555,1106555
CASE_01107,PAY_C0AAA67F,SET_41C7CDF3,BNK_7A8705E9,CHARGEBACK,MATCHED,-13298,-13298
CASE_01108,PAY_DB5E9DF8,SET_FBBC5DCE,BNK_A65D7B65,TAX_VARIANCE,EXCEPTION,84459,84509
CASE_01109,PAY_0FDF64D4,SET_39026542,BNK_729088C6,FEE_VARIANCE,EXCEPTION,1857601,1857501
CASE_01110,,SET_6DDDCD6F,BNK_9668A9F2,MISSING_PAYMENT,EXCEPTION,544636,544636
CASE_01111,PAY_6A2620E4,SET_FCA3BF0F,BNK_09FB8009,CHARGEBACK,MATCHED,-30356,-30356
CASE_01112,PAY_F9EB265F,SET_E2D14B28,BNK_47D37A1F,REFUND,MATCHED,69698,69698
CASE_01113,PAY_3DA14115,SET_D59FF60A,BNK_F5D9420F,REFUND,MATCHED,205948,205948
CASE_01114,PAY_14A1A9CE,SET_35B4BCC9,BNK_D906FA09,DUPLICATE,REVIEW,873976,873976
CASE_01115,PAY_2271A3AA,SET_73C1D03B,BNK_F9E901A7,AMBIGUOUS,REVIEW,455589,455589
CASE_01116,PAY_DB73A319,SET_CC1A78A9,BNK_7892EA8B,HIGH_VALUE_ANOMALY,REVIEW,58584000,58584000
CASE_01117,PAY_50569B41,SET_4C815682,BNK_3D838018,CLEAN,MATCHED,1793843,1793843
CASE_01118,PAY_5EBEF4E0,SET_A33C658F,BNK_E5636267,CLEAN,MATCHED,784636,784636
CASE_01119,PAY_4D6AADFB,SET_B680694B,BNK_0B017CB6,ONE_TO_MANY,MATCHED,1624437,1624437
CASE_01120,PAY_4D12E030,SET_685C6901,BNK_B7254EBA,FEE_VARIANCE,EXCEPTION,974155,974055
CASE_01121,PAY_F11427F5,SET_3D3AE20A,BNK_4C8327D2,CHARGEBACK,MATCHED,-40537,-40537
CASE_01122,PAY_7F75152F,SET_B56027F4,BNK_7FE7C43A,FEE_VARIANCE,EXCEPTION,1053146,1053046
CASE_01123,PAY_6FD87EDD,SET_EA93930B,BNK_F0BA0BE8,CLEAN,MATCHED,722048,722048
CASE_01124,PAY_529072DF,SET_66C57B78,BNK_DD854DB8,CLEAN,MATCHED,1263950,1263950
CASE_01125,PAY_32E1DA5E,SET_8374CCD5,BNK_B8445395,CLEAN,MATCHED,1024049,1024049
CASE_01126,PAY_0F6781AF,SET_AF1D1184,BNK_1F636C7B,CLEAN,MATCHED,461154,461154
CASE_01127,PAY_04D91110,SET_FA2D8E0C,BNK_3AA84DB6,REFERENCE_TYPO,MATCHED,759151,759151
CASE_01128,PAY_7322A93D,SET_22BDAF93,BNK_1BDC15F0,CLEAN,MATCHED,504799,504799
CASE_01129,PAY_EA59CCC3,SET_09E364A6,BNK_C5244058,CLEAN,MATCHED,708281,708281
CASE_01130,PAY_371381C2,SET_46DD6FEE,BNK_A1F62864,ONE_TO_MANY,MATCHED,128983,128983
CASE_01131,PAY_58130F50,SET_21AA1BAD,BNK_94BAB553,CLEAN,MATCHED,1504926,1504926
CASE_01132,PAY_F185008F,SET_2922BCD1,BNK_D0B06E54,CLEAN,MATCHED,1020338,1020338
CASE_01133,PAY_CE21ABBB,SET_C7CF522F,BNK_45D02F3A,CLEAN,MATCHED,731129,731129
CASE_01134,PAY_CF48ECD1,SET_FFDE0B6E,BNK_92964455,CLEAN,MATCHED,1237978,1237978
CASE_01135,PAY_8F0BD2DC,SET_856045E0,BNK_7FDB3EA7,CLEAN,MATCHED,400227,400227
CASE_01136,PAY_35FFFFD2,SET_5E447984,BNK_AA970ECD,CLEAN,MATCHED,1518498,1518498
CASE_01137,,SET_41128E61,BNK_0B83906E,MISSING_PAYMENT,EXCEPTION,701349,701349
CASE_01138,PAY_ADBAAD10,SET_C98F436F,BNK_FC837595,CLEAN,MATCHED,1570442,1570442
CASE_01139,PAY_77F152BF,SET_F1632C4A,BNK_DE5A918B,CLEAN,MATCHED,1539002,1539002
CASE_01140,PAY_DEC83FE7,SET_9B1CD156,BNK_78DC1F98,REFERENCE_TYPO,MATCHED,1042405,1042405
CASE_01141,PAY_EBA5FC4F,SET_B2AD0C20,BNK_44E3CEBE,CLEAN,MATCHED,834822,834822
CASE_01142,PAY_C1BCEDFC,SET_8155101D,BNK_BC4AC3D2,FEE_VARIANCE,EXCEPTION,1008915,1008815
CASE_01143,PAY_57FB4AF5,SET_2B2E46FE,BNK_FDBAB9CA,REFERENCE_TYPO,MATCHED,858451,858451
CASE_01144,PAY_2C814066,SET_EC8B7AC3,BNK_0921E7A4,CLEAN,MATCHED,1782321,1782321
CASE_01145,PAY_669C31D9,SET_5BD0CDC1,BNK_78414E7C,REFERENCE_TYPO,MATCHED,228380,228380
CASE_01146,PAY_5F505C9F,SET_9AEAC9F7,BNK_A8256368,CLEAN,MATCHED,861185,861185
CASE_01147,PAY_1D1E2BF3,SET_F9A0DB03,BNK_28726897,CLEAN,MATCHED,728395,728395
CASE_01148,PAY_17C2735F,SET_42CC9134,BNK_1FFBC6ED,CLEAN,MATCHED,1656268,1656268
CASE_01149,PAY_44C36FEA,SET_10AF473C,BNK_265EEB3B,UNEXPLAINED_DELTA,EXCEPTION,359804,344204
CASE_01150,PAY_DF4058E5,,,MISSING_SETTLEMENT,EXCEPTION,734937,734937
CASE_01151,PAY_DD48D046,SET_DC7F9BDC,BNK_BA080320,REFUND,MATCHED,485214,485214
CASE_01152,PAY_95874E34,SET_28FAC25E,BNK_17B68E96,CLEAN,MATCHED,691194,691194
CASE_01153,PAY_B7EB8544,SET_B73918B7,BNK_770DAD92,REFUND,MATCHED,80226,80226
CASE_01154,,SET_6207B242,BNK_B4BE3E07,MISSING_PAYMENT,EXCEPTION,285890,285890
CASE_01155,PAY_0F00298D,SET_F8BBC679,BNK_FD4E7FDB,CLEAN,MATCHED,1085855,1085855
CASE_01156,PAY_DA7E5957,SET_3FC8B033,BNK_3ACF336C,REFERENCE_TYPO,MATCHED,1560385,1560385
CASE_01157,PAY_2D851AD6,SET_0E4A7914,BNK_9251F622,CLEAN,MATCHED,1291094,1291094
CASE_01158,PAY_03FA6F58,SET_FC8D5019,BNK_39510E26,CLEAN,MATCHED,1740141,1740141
CASE_01159,PAY_1AFA9C23,SET_976BE3E2,BNK_6949A386,CLEAN,MATCHED,1118369,1118369
CASE_01160,PAY_1C1A0AFA,SET_B8F0E38C,BNK_EE8BC15B,TIMING_DIFFERENCE,MATCHED,280325,280325
CASE_01161,PAY_548F73B2,SET_C6C0C2B6,BNK_CF81DEA1,DUPLICATE,REVIEW,1457570,1457570
CASE_01162,PAY_94BBF4E0,SET_AC44D371,BNK_67C9B2A2,CLEAN,MATCHED,1440679,1440679
CASE_01163,PAY_4AD5BE3E,SET_F37A9D91,BNK_95CF0210,CHARGEBACK,MATCHED,-18490,-18490
CASE_01164,PAY_AC3BF6CC,SET_AA81AC3B,BNK_D42B899A,ONE_TO_MANY,MATCHED,338030,338030
CASE_01165,PAY_44CC2739,SET_F8C86012,BNK_87179BD3,CLEAN,MATCHED,1531777,1531777
CASE_01166,PAY_3DB8AC50,SET_B0E6BD63,BNK_D76AB7B1,CLEAN,MATCHED,553912,553912
CASE_01167,,SET_BB2533B2,BNK_A8A54560,MISSING_PAYMENT,EXCEPTION,1729595,1729595
CASE_01168,PAY_96D4DFAE,SET_C68989F1,BNK_3DB6B062,CHARGEBACK,MATCHED,-30094,-30094
CASE_01169,PAY_2B051DB2,SET_063BE48C,BNK_64A57F5E,CLEAN,MATCHED,813732,813732
CASE_01170,PAY_435AEC8D,SET_6970514C,BNK_65A50BBE,TAX_VARIANCE,EXCEPTION,1177929,1177979
CASE_01171,PAY_69391679,SET_28CEBC9C,BNK_002DAD29,ONE_TO_MANY,MATCHED,1870002,1870002
CASE_01172,PAY_18046C73,SET_8B009A01,BNK_B6C728EC,REFERENCE_TYPO,MATCHED,225354,225354
CASE_01173,PAY_1ABCE346,SET_461D3369,BNK_8F66D715,UNEXPLAINED_DELTA,EXCEPTION,1562436,1541336
CASE_01174,PAY_5169C227,SET_BC635FFC,BNK_BFD481DE,CLEAN,MATCHED,158470,158470
CASE_01175,PAY_8B8D0D6E,SET_2B970AFC,BNK_15AE437E,FEE_VARIANCE,EXCEPTION,737573,737473
CASE_01176,PAY_F9373913,SET_769D2580,BNK_745C7C77,CLEAN,MATCHED,1701377,1701377
CASE_01177,PAY_67692425,SET_2C479294,BNK_DAF90C8B,CLEAN,MATCHED,110627,110627
CASE_01178,PAY_95B6D96A,SET_5C356AE9,BNK_AACB526C,CLEAN,MATCHED,642569,642569
CASE_01179,PAY_A721ADD7,SET_6D40B83C,BNK_CD1412AA,CLEAN,MATCHED,150659,150659
CASE_01180,PAY_99270E43,SET_0C9524EA,BNK_92293948,UNEXPLAINED_DELTA,EXCEPTION,1711727,1696727
CASE_01181,PAY_7823AB0A,SET_5CD872D1,BNK_F75B9372,CLEAN,MATCHED,1612037,1612037
CASE_01182,PAY_3F844F8E,SET_032FB7F3,BNK_C21AF977,CLEAN,MATCHED,1880352,1880352
CASE_01183,PAY_E28EDE0E,SET_87ACA6F8,BNK_30446D77,FEE_VARIANCE,EXCEPTION,1260435,1260335
CASE_01184,PAY_D6C34A31,SET_27593B75,BNK_361B4790,CLEAN,MATCHED,1838562,1838562
CASE_01185,PAY_A6549AE9,SET_8430E44D,BNK_10833383,CLEAN,MATCHED,993292,993292
CASE_01186,PAY_06E02A8C,SET_94A8764C,BNK_72C808F7,REFUND,MATCHED,265498,265498
CASE_01187,PAY_6F62967B,SET_6C111691,BNK_CF342DD8,OTHER,MATCHED,1752541,1752541
CASE_01188,,SET_F3A8E3EA,BNK_1069670A,MISSING_PAYMENT,EXCEPTION,992218,992218
CASE_01189,PAY_0D872331,SET_9A2C31AD,BNK_129C9F51,DUPLICATE,REVIEW,1104016,1104016
CASE_01190,PAY_E507A56D,SET_EADEA6E2,BNK_7DBAD334,UNEXPLAINED_DELTA,EXCEPTION,1483445,1463445
CASE_01191,PAY_15DA2213,SET_9DA3D30E,BNK_7A57FFF5,REFERENCE_TYPO,MATCHED,1492916,1492916
CASE_01192,PAY_FBCD1717,SET_6E8BF4D4,BNK_F657186D,CLEAN,MATCHED,1635861,1635861
CASE_01193,PAY_7AD54501,SET_E2FA94C1,BNK_CF226765,REFUND,MATCHED,279028,279028
CASE_01194,PAY_20244687,SET_BD2EC863,BNK_1A693F8D,TAX_VARIANCE,EXCEPTION,757296,757346
CASE_01195,PAY_CA9082C5,SET_8840AEA8,BNK_4221138A,ONE_TO_MANY,MATCHED,1930148,1930148
CASE_01196,PAY_7A43707B,SET_DC94EFEE,BNK_03850CB7,REFERENCE_TYPO,MATCHED,1786812,1786812
CASE_01197,PAY_4C161B25,SET_ECE389FA,BNK_90B46D2B,CLEAN,MATCHED,182294,182294
CASE_01198,PAY_7DDC6414,SET_A15778F1,BNK_EC3D9489,TAX_VARIANCE,EXCEPTION,505580,505630
CASE_01199,PAY_A0743CBC,SET_A2427884,BNK_807B4FF0,CLEAN,MATCHED,1529726,1529726
CASE_01200,PAY_36490419,SET_457F3B1A,BNK_CFB62B7D,CLEAN,MATCHED,532724,532724
CASE_01201,PAY_1C137F9B,SET_7B47D748,BNK_3340D5A2,CLEAN,MATCHED,656141,656141
CASE_01202,PAY_0C4AA8C9,SET_6B3DDEA0,BNK_81193C69,CLEAN,MATCHED,618452,618452
CASE_01203,PAY_A5DEF56B,SET_20DD2132,BNK_9D27E58B,REFUND,MATCHED,538142,538142
CASE_01204,PAY_67EF46AC,SET_6770277C,BNK_967E162D,CLEAN,MATCHED,854643,854643
CASE_01205,PAY_A16016EC,SET_F2648393,BNK_6C9531BF,TIMING_DIFFERENCE,MATCHED,436647,436647
CASE_01206,PAY_F848731F,SET_BEED4585,BNK_A0A08AF7,CLEAN,MATCHED,1012430,1012430
CASE_01207,PAY_14CD5F30,SET_EFDC9F17,BNK_B6F994A1,CLEAN,MATCHED,1502387,1502387
CASE_01208,PAY_1CA3D580,SET_E1876A49,BNK_A0891740,CLEAN,MATCHED,1634787,1634787
CASE_01209,PAY_D7B10135,SET_B9D8274B,BNK_6970B781,OTHER,MATCHED,1839245,1839245
CASE_01210,PAY_86D51944,SET_8D9DFC04,BNK_365D8478,TAX_VARIANCE,EXCEPTION,424539,424589
CASE_01211,PAY_4C3DBB0D,SET_ACE85171,BNK_190520AA,CLEAN,MATCHED,267144,267144
CASE_01212,PAY_B741057A,SET_D3F82AB2,BNK_32572365,CLEAN,MATCHED,653896,653896
